Unique.ID,Radar Stations,X,Y,X.Lon,Y.Lat,X.75.N,Y.75.N,X.75.S,Y.75.S,X.75.E,Y.75.E,X.75.W,Y.75.W,X.150.N,Y.150.N,X.150.S,Y.150.S,X.150.E,Y.150.E,X.150.W,Y.150.W
46,KABR,-226972.628,2446608.29,-98.8818999500752,44.97704759567,-226972.628,2521608.29,-226972.628,2371608.29,-151972.628,2446608.29,-301972.628,2446608.29,-226972.628,2596608.29,-226972.628,2296608.29,-76972.628,2446608.29,-376972.628,2446608.29
47,KABR,-256600.698,2514752.851,-99.2877327457494,45.5808754187519,-256600.698,2589752.851,-256600.698,2439752.851,-181600.698,2514752.851,-331600.698,2514752.851,-256600.698,2664752.851,-256600.698,2364752.851,-106600.698,2514752.851,-406600.698,2514752.851
48,KABR,-173642.102,2482161.974,-98.2155597249838,45.3094034254518,-173642.102,2557161.974,-173642.102,2407161.974,-98642.102,2482161.974,-248642.102,2482161.974,-173642.102,2632161.974,-173642.102,2332161.974,-23642.102,2482161.974,-323642.102,2482161.974
49,KABR,-173642.102,2529566.886,-98.2297487698881,45.7358402955838,-173642.102,2604566.886,-173642.102,2454566.886,-98642.102,2529566.886,-248642.102,2529566.886,-173642.102,2679566.886,-173642.102,2379566.886,-23642.102,2529566.886,-323642.102,2529566.886
50,KABR,-197344.558,2523641.272,-98.5319511650746,45.6771671399962,-197344.558,2598641.272,-197344.558,2448641.272,-122344.558,2523641.272,-272344.558,2523641.272,-197344.558,2673641.272,-197344.558,2373641.272,-47344.558,2523641.272,-347344.558,2523641.272
51,KABR,-221047.014,2571046.184,-98.8541452002664,46.0979140630892,-221047.014,2646046.184,-221047.014,2496046.184,-146047.014,2571046.184,-296047.014,2571046.184,-221047.014,2721046.184,-221047.014,2421046.184,-71047.014,2571046.184,-371047.014,2571046.184
52,KABR,-138088.418,2491050.395,-97.7641404775063,45.3960253702371,-138088.418,2566050.395,-138088.418,2416050.395,-63088.418,2491050.395,-213088.418,2491050.395,-138088.418,2641050.395,-138088.418,2341050.395,11911.582,2491050.395,-288088.418,2491050.395
53,KABR,-129199.997,2449571.097,-97.6414584166447,45.0245748914975,-129199.997,2524571.097,-129199.997,2374571.097,-54199.997,2449571.097,-204199.997,2449571.097,-129199.997,2599571.097,-129199.997,2299571.097,20800.003,2449571.097,-279199.997,2449571.097
54,KABR,-144014.032,2476236.36,-97.8361681038198,45.2618075698462,-144014.032,2551236.36,-144014.032,2401236.36,-69014.032,2476236.36,-219014.032,2476236.36,-144014.032,2626236.36,-144014.032,2326236.36,5985.968,2476236.36,-294014.032,2476236.36
55,KABR,-152902.453,2431794.255,-97.9379109783702,44.8608622617952,-152902.453,2506794.255,-152902.453,2356794.255,-77902.453,2431794.255,-227902.453,2431794.255,-152902.453,2581794.255,-152902.453,2281794.255,-2902.453,2431794.255,-302902.453,2431794.255
